day,hour,product
1,9,cutlery
1,9,cutlery
1,9,ladle
1,10,knife
1,10,spatula
1,11,choppingboard
1,11,ladle
1,12,cup
1,12,spatula
1,13,saltpepper
1,14,cup
1,14,knife
1,14,cutlery
1,14,cutlery
1,14,knife
1,14,spatula
1,15,plate
1,16,plate
1,17,knife
1,17,cutlery
1,17,knife
1,17,woodenspoon
1,18,saltpepper
2,9,ladle
2,10,spatula
2,11,cutlery
2,11,spatula
2,12,woodenspoon
2,13,cup
2,13,cup
2,13,ladle
2,14,cup
2,14,saltpepper
2,15,ladle
2,16,woodenspoon
2,17,cutlery
2,17,cutlery
2,17,choppingboard
2,17,plate
2,18,knife
2,18,ladle
3,9,woodenspoon
3,10,ladle
3,11,saltpepper
3,12,spatula
3,13,woodenspoon
3,14,ladle
3,15,ladle
3,16,cutlery
3,16,spatula
3,17,spatula
3,18,choppingboard
3,18,choppingboard
3,18,cutlery
3,18,woodenspoon
4,9,knife
4,9,plate
4,10,woodenspoon
4,11,plate
4,12,plate
4,13,cutlery
4,13,plate
4,14,woodenspoon
4,15,plate
4,16,cup
4,16,woodenspoon
4,17,plate
4,18,spatula
5,9,knife
5,10,choppingboard
5,10,plate
5,11,plate
5,12,woodenspoon
5,13,choppingboard
5,13,spatula
5,14,knife
5,15,knife
5,16,woodenspoon
5,17,plate
5,18,woodenspoon
6,9,saltpepper
6,10,cutlery
6,10,plate
6,11,knife
6,11,knife
6,11,ladle
6,12,cup
6,12,ladle
6,13,ladle
6,14,ladle
6,15,saltpepper
6,16,cutlery
6,16,ladle
6,17,choppingboard
6,17,choppingboard
6,17,spatula
6,18,woodenspoon
7,9,spatula
7,10,plate
7,11,woodenspoon
7,12,cutlery
7,12,saltpepper
7,13,choppingboard
7,13,cutlery
7,13,cup
7,13,cutlery
7,13,choppingboard
7,13,choppingboard
7,13,knife
7,14,ladle
7,15,woodenspoon
7,16,plate
7,17,knife
7,17,saltpepper
7,18,spatula
8,9,woodenspoon
8,10,woodenspoon
8,11,plate
8,12,cutlery
8,12,saltpepper
8,13,spatula
8,14,choppingboard
8,14,cutlery
8,14,spatula
8,15,knife
8,15,knife
8,15,cup
8,15,woodenspoon
8,16,woodenspoon
8,17,woodenspoon
8,18,knife
9,9,plate
9,10,knife
9,11,plate
9,12,plate
9,13,woodenspoon
9,14,cutlery
9,14,knife
9,14,cup
9,14,choppingboard
9,14,knife
9,15,choppingboard
9,15,choppingboard
9,15,choppingboard
9,15,plate
9,16,choppingboard
9,16,woodenspoon
9,17,spatula
9,18,cup
9,18,cup
9,18,woodenspoon
10,9,knife
10,9,plate
10,10,spatula
10,11,cup
10,11,cup
10,11,ladle
10,12,cup
10,12,spatula
10,13,spatula
10,14,cup
10,14,choppingboard
10,14,choppingboard
10,14,ladle
10,15,choppingboard
10,15,knife
10,15,cutlery
10,15,saltpepper
10,16,choppingboard
10,16,spatula
10,17,saltpepper
10,18,plate
11,9,ladle
11,10,cup
11,10,cutlery
11,10,saltpepper
11,11,choppingboard
11,11,cup
11,11,cutlery
11,11,cutlery
11,11,ladle
11,12,cutlery
11,12,spatula
11,13,saltpepper
11,14,choppingboard
11,14,choppingboard
11,14,choppingboard
11,14,ladle
11,15,ladle
11,16,ladle
11,17,ladle
11,18,choppingboard
11,18,ladle
12,9,cutlery
12,9,woodenspoon
12,10,cutlery
12,10,woodenspoon
12,11,plate
12,12,woodenspoon
12,13,cutlery
12,13,spatula
12,14,cup
12,14,saltpepper
12,15,cutlery
12,15,ladle
12,16,cutlery
12,16,woodenspoon
12,17,knife
12,17,plate
12,18,ladle
13,9,cup
13,9,cutlery
13,9,woodenspoon
13,10,plate
13,11,knife
13,12,spatula
13,13,cutlery
13,13,knife
13,13,ladle
13,14,choppingboard
13,14,cutlery
13,14,saltpepper
13,15,cutlery
13,15,plate
13,16,knife
13,17,plate
13,18,choppingboard
13,18,cup
13,18,cup
13,18,woodenspoon
14,9,saltpepper
14,10,knife
14,11,cutlery
14,11,woodenspoon
14,12,knife
14,13,cutlery
14,13,plate
14,14,plate
14,15,cup
14,15,saltpepper
14,16,choppingboard
14,16,plate
14,17,woodenspoon
14,18,woodenspoon
15,9,cutlery
15,9,cup
15,9,choppingboard
15,9,woodenspoon
15,10,spatula
15,11,cup
15,11,choppingboard
15,11,plate
15,12,cup
15,12,spatula
15,13,woodenspoon
15,14,cup
15,14,woodenspoon
15,15,cup
15,15,spatula
15,16,woodenspoon
15,17,cutlery
15,17,saltpepper
15,18,cup
15,18,plate
16,9,spatula
16,10,saltpepper
16,11,choppingboard
16,11,woodenspoon
16,12,cup
16,12,cup
16,12,cutlery
16,12,saltpepper
16,13,cup
16,13,saltpepper
16,14,choppingboard
16,14,saltpepper
16,15,saltpepper
16,16,cutlery
16,16,cutlery
16,16,cutlery
16,16,ladle
16,17,cup
16,17,cutlery
16,17,choppingboard
16,17,woodenspoon
16,18,choppingboard
16,18,cutlery
16,18,knife
17,9,choppingboard
17,9,cutlery
17,9,cutlery
17,9,knife
17,10,saltpepper
17,11,cutlery
17,11,ladle
17,12,cutlery
17,12,ladle
17,13,cutlery
17,13,cup
17,13,plate
17,14,choppingboard
17,14,choppingboard
17,14,spatula
17,15,saltpepper
17,16,woodenspoon
17,17,knife
17,17,ladle
17,18,knife
17,18,spatula
18,9,cutlery
18,9,knife
18,9,saltpepper
18,10,spatula
18,11,ladle
18,12,knife
18,12,cup
18,12,ladle
18,13,cup
18,13,saltpepper
18,14,saltpepper
18,15,knife
18,16,plate
18,17,woodenspoon
18,18,spatula
19,9,spatula
19,10,spatula
19,11,woodenspoon
19,12,spatula
19,13,cutlery
19,13,saltpepper
19,14,cutlery
19,14,ladle
19,15,choppingboard
19,15,saltpepper
19,16,cup
19,16,knife
19,17,cutlery
19,17,plate
19,18,cup
19,18,ladle
